Order Date,Sales
2014-01-01,285.3576470588236
2014-02-01,63.04258823529411
2014-03-01,391.1763181818182
2014-04-01,464.79475
2014-05-01,324.34654545454543
2014-06-01,588.7744090909091
2014-07-01,756.0603999999998
2014-08-01,541.8791428571428
2014-09-01,1015.6777037037037
2014-10-01,267.0788148148148
2014-11-01,959.3727142857143
2014-12-01,692.5562307692308
2015-01-01,129.19857142857143
2015-02-01,335.5041875
2015-03-01,690.5455217391303
2015-04-01,502.34232
2015-05-01,364.54944
2015-06-01,560.4077368421054
2015-07-01,205.2147391304348
2015-08-01,558.8146666666667
2015-09-01,772.23068
2015-10-01,361.39208333333335
2015-11-01,757.7903571428571
2015-12-01,540.0558
2016-01-01,331.230125
2016-02-01,357.59736842105264
2016-03-01,693.87724
2016-04-01,462.9324782608696
2016-05-01,449.48972413793103
2016-06-01,436.07239999999996
2016-07-01,587.4747272727274
2016-08-01,344.6053846153846
2016-09-01,830.8477857142858
2016-10-01,678.4080833333334
2016-11-01,787.9722307692308
2016-12-01,1357.0559285714285
2017-01-01,967.0131363636364
2017-02-01,389.88273684210526
2017-03-01,538.8994814814815
2017-04-01,558.2292962962963
2017-05-01,508.77644444444445
2017-06-01,650.4630384615385
2017-07-01,393.9026153846154
2017-08-01,1156.148153846154
2017-09-01,1139.13725
2017-10-01,886.0458461538461
2017-11-01,1124.0120357142857
2017-12-01,1049.549724137931
