Order Date,Sales
2014-01-01,480.1942307692307
2014-02-01,367.9316
2014-03-01,857.2915294117647
2014-04-01,567.4883571428571
2014-05-01,432.0491875
2014-06-01,695.0592421052631
2014-07-01,601.1695
2014-08-01,457.52165625
2014-09-01,992.3533666666667
2014-10-01,769.0154375
2014-11-01,980.2214863636364
2014-12-01,1532.2983250000002
2015-01-01,978.3284666666667
2015-02-01,522.3956666666667
2015-03-01,781.2364375
2015-04-01,805.8229615384615
2015-05-01,624.9966999999999
2015-06-01,428.5655
2015-07-01,719.7063157894737
2015-08-01,602.4120125
2015-09-01,1382.7906842105265
2015-10-01,632.9801842105263
2015-11-01,1286.7013541666668
2015-12-01,1049.3554181818183
2016-01-01,508.1828666666667
2016-02-01,356.8682727272727
2016-03-01,609.5758095238094
2016-04-01,695.3731578947369
2016-05-01,687.2652272727273
2016-06-01,816.91075
2016-07-01,768.7364117647058
2016-08-01,734.3077823529411
2016-09-01,1135.9533708333333
2016-10-01,624.8724736842106
2016-11-01,1271.345152
2016-12-01,1410.7198076923078
2017-01-01,397.60213333333337
2017-02-01,528.1798
2017-03-01,544.67224
2017-04-01,453.297905
2017-05-01,678.302328
2017-06-01,826.4602913043478
2017-07-01,562.5248571428571
2017-08-01,857.8818888888889
2017-09-01,1209.5085833333335
2017-10-01,875.3627280000001
2017-11-01,1277.8177586206896
2017-12-01,1256.298672
