Order Date,Sales
2014-01-01,449.0414285714286
2014-02-01,229.78714285714287
2014-03-01,2031.948375
2014-04-01,613.0289333333334
2014-05-01,564.6985882352941
2014-06-01,766.9059090909091
2014-07-01,533.6089333333333
2014-08-01,708.4353846153846
2014-09-01,2035.8381333333334
2014-10-01,596.9009
2014-11-01,1208.05632
2014-12-01,1160.7328888888887
2015-01-01,925.0708000000001
2015-02-01,431.12125000000003
2015-03-01,574.6623333333333
2015-04-01,697.5595000000001
2015-05-01,831.6428571428571
2015-06-01,429.0244
2015-07-01,691.3977333333333
2015-08-01,1108.9022857142859
2015-09-01,950.8564
2015-10-01,594.7161111111111
2015-11-01,1037.982652173913
2015-12-01,1619.6376363636364
2016-01-01,374.67106666666666
2016-02-01,1225.8914
2016-03-01,1135.1501052631581
2016-04-01,875.9118823529411
2016-05-01,1601.8161666666665
2016-06-01,1023.2595
2016-07-01,829.3125
2016-08-01,483.6201
2016-09-01,1144.1703
2016-10-01,1970.8358749999998
2016-11-01,1085.64236
2016-12-01,970.5548695652174
2017-01-01,1195.2180714285714
2017-02-01,430.5017142857143
2017-03-01,1392.8592500000002
2017-04-01,825.5591333333333
2017-05-01,678.3294000000001
2017-06-01,853.0550000000001
2017-07-01,1054.9966363636363
2017-08-01,978.8423333333334
2017-09-01,1077.7041199999999
2017-10-01,1493.4392272727273
2017-11-01,1996.75092
2017-12-01,955.8656521739131
